"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.60961233619476e-98,2.44740925435348,0.98,0.315,3.81944911255656e-94,"0","CAMK4"
1.04172314809703e-87,2.14472879652261,0.98,0.349,2.47190485811945e-83,"0","PRKCA"
3.79607954777192e-87,2.62002349710744,0.891,0.258,9.007717158908e-83,"0","FHIT"
1.68182887032595e-86,2.32383626237448,0.932,0.253,3.99081172639646e-82,"0","LEF1"
7.13797310232459e-74,1.8295337968011,0.959,0.355,1.6937696374506e-69,"0","BCL11B"
2.13590471497365e-73,2.01165030273571,0.918,0.29,5.06828829816098e-69,"0","INPP4B"
3.24080621367656e-68,1.91385165110833,0.905,0.307,7.69010906443311e-64,"0","PRKCQ-AS1"
3.66179977703287e-66,1.7711901430578,0.915,0.318,8.68908469092129e-62,"0","TCF7"
2.31846257051091e-64,1.84825861029067,0.888,0.307,5.50147983356535e-60,"0","TXK"
1.28096858974236e-63,1.83726173829755,0.905,0.341,3.03961036659964e-59,"0","SERINC5"
7.73632383741819e-63,1.86113216772101,0.881,0.309,1.83575228338096e-58,"0","PCED1B"
2.30039533902479e-60,1.71625551504763,0.929,0.356,5.45860809997192e-56,"0","TC2N"
3.78900507488111e-60,1.40667733366079,0.973,0.343,8.99093014218538e-56,"0","IL7R"
9.97239625798911e-60,2.2829595175878,0.714,0.169,2.36634990805824e-55,"0","PLCL1"
6.14591271186587e-59,2.6601883681947,0.626,0.118,1.45836362739865e-54,"0","NELL2"
1.55035997546689e-58,1.08484687462927,0.993,0.716,3.67884918578539e-54,"0","RPS20"
1.69180401972825e-58,1.60830725123731,0.932,0.421,4.01448175841316e-54,"0","PDE3B"
6.44098651358291e-58,2.07927901954724,0.786,0.238,1.52838168980809e-53,"0","MLLT3"
6.10787520923605e-57,1.1116604763902,0.993,0.674,1.44933770839962e-52,"0","RPL31"
2.21030172393182e-56,1.62940036314761,0.878,0.293,5.24482496071782e-52,"0","RCAN3"
